epoch,train_loss
1,0.009070103134486963
2,0.006705782147864479
3,0.006082689798741935
4,0.005766299767508734
5,0.005608514089044395
6,0.005506881659145243
7,0.005458378304187469
8,0.005454474877799369
9,0.005410571570215539
10,0.005398828774236694
11,0.005374336156751907
12,0.005341302203544469
13,0.005395615983770512
14,0.005313196791671255
15,0.005361922607218799
16,0.005315305678289429
17,0.005317085588985582
18,0.005339402076596455
19,0.005371655750452472
20,0.005366456785274087
21,0.005325461875339858
22,0.005280650990959293
23,0.005300532450656541
24,0.005325396626008747
25,0.0052627635501824215
26,0.005308475001238576
27,0.0053119425669699806
28,0.005311275153087483
29,0.005318480195472236
30,0.005349084096840954
31,0.005292341508944048
32,0.005338808936406821
33,0.0053479339138109054
34,0.005293985596485271
35,0.0053558119798966745
36,0.005325016177717735
37,0.005312310944802528
38,0.005394006930155626
39,0.005325865938194669
40,0.005305896801582479
41,0.005351462601326145
42,0.005340361202403657
43,0.005371591649735057
44,0.005319210768889847
45,0.005305229177372156
46,0.005321083688188585
47,0.00534066900114324
48,0.005292368954884344
49,0.005366220374876859
50,0.005315688653921122
51,0.005305768043218479
52,0.005320392353449582
53,0.005287223873209946
54,0.005296023199931116
55,0.005313945146471456
56,0.005306383864375096
57,0.005367409875245756
58,0.005341056123000808
59,0.005497399768425305
60,0.005352870946684907
61,0.005374507868027151
62,0.005309399133491031
63,0.005322109975365422
64,0.00532365561070129
65,0.005339508026925708
66,0.005313693169451069
67,0.005325910241756632
68,0.005357106396181496
69,0.005309344201903825
70,0.005297930508565166
71,0.005359885626198538
72,0.00533620095731865
73,0.005300023247003697
74,0.0053383522308818356
75,0.005395375834888601
76,0.005543252697620677
77,0.005367918916400112
78,0.005347895798977491
79,0.005353239282626444
80,0.00534339658305686
81,0.00531760218834999
82,0.005316203383665474
83,0.005320445000419484
84,0.005399899005507365
85,0.005317999533465663
86,0.0054073728963165224
87,0.005402981996702929
88,0.0053127874873900496
89,0.005327276630858118
90,0.00537519665774495
91,0.0053675600617342535
92,0.005322367906939095
93,0.00535369231583425
94,0.005375966637872154
95,0.005361597925988201
96,0.005351491203746772
97,0.005327601520591526
98,0.005402763609551111
99,0.005349200909211803
100,0.005471288574649729
101,0.005368203406346647
