epoch,train_loss,val_loss
1,0.00957878840342555,0.006406544326552861
2,0.006984748909345672,0.005548916959413495
3,0.006368693523793037,0.005085758616488032
4,0.0059506553493963955,0.005062816018848851
5,0.005696516259840191,0.004991698009654707
6,0.005555901432982553,0.0049481284995398535
7,0.005506658350417522,0.004883409594003353
8,0.005459735478037051,0.004720734745439642
9,0.005410822371855487,0.005008268560117506
10,0.005366421697108155,0.004787883456245722
11,0.005354991431493637,0.005018056544229958
12,0.005341718397968119,0.004990457903069928
13,0.0053385491686182215,0.005024067129145851
14,0.005311463550045883,0.004821462864044563
15,0.0053002153996257,0.004665920413059853
16,0.0052870632904696065,0.004641768112901168
17,0.005296925092184406,0.004886237428413638
18,0.00528254064693187,0.004745016404641387
19,0.005279528012778708,0.0049735968715064706
20,0.005280443998923426,0.004617271205305942
21,0.005259419126770335,0.004682377920256484
22,0.005245847738341107,0.00477736442247181
23,0.005268676583884833,0.004859964833488397
24,0.005260140096801963,0.004752517747393796
25,0.005254031686016514,0.004812837836796093
26,0.005240906655186434,0.004760715444570811
27,0.005261137964573355,0.0048807339464520495
28,0.0052657933232393055,0.004980098743678875
29,0.00524200281442963,0.0047739677525522415
30,0.00525739381064398,0.004712128261806583
31,0.005265617898810979,0.004730697893477787
32,0.005239944262889381,0.00469070492799995
33,0.005221738257510871,0.004715944269224021
34,0.005243411237727714,0.004651230492903578
35,0.005241189373252525,0.00469583114994135
36,0.005226619568030894,0.004768672216181359
37,0.005225785820405825,0.004648206566687647
38,0.005236771306001502,0.004738581463615237
39,0.005223960213261537,0.004732822990607887
40,0.0052015850066372505,0.004611303568565375
41,0.005211222913030218,0.004707535660370363
42,0.0052411507172089805,0.0050057616495786045
43,0.005219336687259822,0.004775214481181787
44,0.005207190772563469,0.004711466887499116
45,0.005205373214469814,0.0047826141588310535
46,0.0052104878301877855,0.004609309706248919
47,0.005231220874806391,0.00475014023859937
48,0.005213146856599971,0.004652909440785586
49,0.005203985480018984,0.004825355266572338
50,0.005207149984641441,0.004788432934537595
51,0.0052104757303237164,0.0048487104832218375
52,0.005206117841267542,0.004722332874793679
53,0.005224481459261394,0.004599066353261569
54,0.005208542136278038,0.0049377182877461834
55,0.005198894182155603,0.004677703310077793
56,0.005200290134819645,0.004644878367411257
57,0.005206326630498123,0.004905036266285295
58,0.005199140689070928,0.0046585286860994475
59,0.005219519095532479,0.0046654444074417465
60,0.005207540436207091,0.004788050637135648
61,0.0052173870358643475,0.004971158502736026
62,0.005190482096412343,0.004674195457043373
63,0.005202977914961225,0.004784743443529293
64,0.00522128670121634,0.004670000938664232
65,0.005219738991053507,0.004640382639652499
66,0.00519322524451165,0.0047842078035445915
67,0.005189863774350845,0.0046565854603863935
68,0.005175396687461597,0.004647764575956731
69,0.005199265799114768,0.00477647194469676
70,0.0052009617195416784,0.004855830870298077
71,0.00517520449727242,0.004687088710640059
72,0.005231110724754405,0.004668335281073291
73,0.005217459453572788,0.004729129101499458
74,0.005186652823215485,0.004593084259743307
75,0.005193467204266493,0.004690742520195444
76,0.005217170056467729,0.004966627892688374
77,0.005214665394866641,0.004850258862639399
78,0.005202978497013403,0.004703279299620099
79,0.005191647560322992,0.004857004488238787
80,0.00519433409622543,0.004752993363419806
81,0.00521454029430216,0.004622249311533886
82,0.005176568207412114,0.0048364755258283815
83,0.005199525295390287,0.0046314010511666085
84,0.005204474217095192,0.004563314269970305
85,0.005189565193701578,0.004762981916788582
86,0.005231378023324052,0.004777230375577342
87,0.005208544286626615,0.00465285375161867
88,0.005196634505592983,0.004673492193301965
89,0.005231434353290112,0.00460808697273862
90,0.0051850278146471146,0.00480319465705387
91,0.005205080514150239,0.004879570286910581
92,0.0052201127141893915,0.005007368020335317
93,0.005190283919959197,0.004716754687344495
94,0.00517113776320488,0.0049760684230406565
95,0.005199750230021204,0.004859964274694852
96,0.005180480050417552,0.004756985609750696
97,0.005227635635096279,0.005129753632792976
98,0.005213366938874141,0.0048942940759700345
99,0.005211771068975314,0.0046866659436262895
100,0.00517214309308846,0.004667459888473583
101,0.005163094408200333,0.004539304752704345
102,0.005189410085298301,0.004725689960907908
103,0.00519239603505633,0.004844736442453471
104,0.0051920818054515,0.004844213887375937
105,0.00519779489599442,0.0048177545321589025
106,0.005201853112906905,0.004759225651220472
107,0.0051995260798316624,0.004605567085081545
108,0.005193597107445518,0.004731008336907605
109,0.005192099605341992,0.004835708591896857
110,0.005170800498953521,0.004675936314965415
111,0.005184733194903962,0.004866778699583743
112,0.0052202111782441605,0.004698972815645971
113,0.005207874322972668,0.004770978332523139
114,0.0051957553107944265,0.004568369438576565
115,0.005220641058469963,0.00484697308803763
116,0.005181241093119382,0.004991039882886267
117,0.005198979665352284,0.004775607452158793
118,0.0051903532269720574,0.004818912275891542
119,0.005198620899862845,0.00470626362384467
120,0.0051840135133810585,0.004657147351533963
121,0.0051910422032880755,0.004649404556491356
122,0.005197417880002906,0.004637293787113097
123,0.005156365790329131,0.0049445152072562035
124,0.005182995771205469,0.004867316497054629
125,0.005180384097122445,0.0049034244250512
126,0.005193876800716611,0.004891371218918718
127,0.005164797269863321,0.004857113661761945
128,0.005207629603844875,0.0046436862107553
129,0.005181574917145285,0.004881116340515538
130,0.005182613478924646,0.0046883979276892505
131,0.005158219767142193,0.005076613106741228
