date,n_daytime,dk6_mean,seed42_mean,station_mean,idw_mean,nsrdb_mean,mean_dk6_minus_idw,mean_dk6_minus_station,mean_ensemble_minus_seed42,mean_fraction_below,mean_fraction_above,mean_station_csi,station_median_ramp_p95,representative_reason
2024-01-01,99,51.12739504753339,48.36479380711763,58.672727165178074,52.055878,58.0729248125845,-0.9284798901791524,-7.54533211764469,2.7626012404157656,0.4830325729202134,0.2828850300760413,0.24098048750499282,44.13000628602597,
2024-01-02,100,43.079042224884034,40.55252581126988,33.29800024220248,27.578741,61.284919875567574,15.500301176905632,9.78104198268156,2.526516413614154,0.022471910112359553,0.6050561797752809,0.1540802090987563,9.540000069036475,
2024-01-03,100,43.373987241536376,40.35306585162878,44.52699982692152,41.712807,39.81587909064689,1.6611800815165043,-1.1530125853851383,3.0209213899075986,0.31264044943820224,0.281123595505618,0.20172859936952592,17.71000262633397,
2024-01-04,100,64.18099808879197,57.72869067892432,65.24599973668128,73.5029,117.6556420661711,-9.3218990188092,-1.0650016478893163,6.452307409867644,0.35983146067415733,0.2898876404494382,0.2949012018740177,33.57000412144636,
2024-01-05,100,66.0215537108481,58.16139857985079,70.03599994450856,77.10589,147.168770888891,-11.084336582273245,-4.014446233660472,7.8601551309973,0.43662921348314604,0.34050561797752804,0.3100082261860371,27.89000857724495,
2024-01-06,100,67.36020808108151,59.04500557050109,71.337000047688,72.43165,142.22736340147105,-5.071443595215678,-3.9767919666064815,8.31520251058042,0.47550561797752805,0.31073033707865166,0.3013495418429375,22.100000446088863,
2024-01-07,101,117.05604726695779,109.11648194034501,99.7257418861667,110.28533,229.66215604494576,6.770720021264387,17.330305380791074,7.939565326612775,0.0741461786628101,0.6354433196128602,0.3936677814120113,30.705006116813866,
2024-01-08,101,48.01599362640098,45.79291572421789,41.78712837015784,44.450607,76.87281534668595,3.565389347087481,6.2288652562431395,2.223077902183084,0.22455223050394926,0.40199132272777843,0.18559590039203072,8.719996261997391,
2024-01-09,102,54.702720846907766,47.73136528610599,62.41960801934623,73.80498,122.6772933520986,-19.102259365659133,-7.716887172438466,6.971355560801777,0.5667547918043622,0.150749063670412,0.28170618122699215,8.700001305466685,
2024-01-10,102,107.22276981583997,97.88533470794266,99.08431314021092,107.97585,211.99749427208675,-0.7530830008726493,8.138456675629058,9.33743510789731,0.2038995373430271,0.42465300727032385,0.3770819022959354,42.899997749675094,
