loss,fold,test_station,n,rmse,mae,r2,bias,peak_rmse,ramp_rmse
Huber,0,S1,52053,90.17236044271031,59.35639133584155,0.8524049558019889,-9.302017526436423,123.06674086768908,63.363166684283286
Huber,1,S2,52142,82.7940478450386,51.694133197308176,0.8861855311376913,17.214064812582166,84.36301589698962,66.833069583982
Huber,2,S3,52149,77.86944536595777,47.21918634709939,0.8939945150595399,2.176779361624957,69.47752859910133,66.88595774155239
Huber,3,P2,4012,40.17795561662944,28.618992919267672,0.13875708167185052,-17.321399282874623,91.84818066835159,15.760153220287057
MSE,0,S1,52053,110.95688032190638,79.7718497867045,0.7765227215377404,-12.661361125307199,199.58351440238846,61.868598892974916
MSE,1,S2,52142,79.00750499585244,50.428247508167445,0.8963579633640416,14.533537481370551,81.10463144612076,66.06644639922968
MSE,2,S3,52149,78.15590222818007,47.29353522536031,0.8932131597573412,1.3198101121253014,64.10218504023189,66.35446539359529
MSE,3,P2,4012,34.964600437093345,25.126911349099938,0.3477604437794598,-4.036131137029429,70.53157767699395,16.468972514516313
