pv_name,rmse,mae,r2,gof,n_train,n_val
pv_10,6.4292765266398595,4.840745686423759,0.9613690375208462,95.35130194229765,51554,591
pv_100,6.365492308335456,4.770364101167057,0.9630208322166779,95.44024877287345,51558,591
pv_1001,7.141905766610766,5.402377336973265,0.948576884797362,94.61953113818542,51550,591
pv_1003,7.379926204536387,5.659245720262657,0.9440221227733362,94.38900997620456,51558,591
pv_1005,6.31197670031276,4.776350042432698,0.9595699768991536,95.24263097280243,51555,591
pv_1007,7.051601865236632,5.25422011238266,0.9501709434743921,94.70970673426345,51557,591
pv_1009,6.284612766109449,4.89119232678373,0.9607174219641269,95.30087402877277,51553,591
pv_1011,6.839820240133034,5.146371140887491,0.9530904289084579,94.86811432001836,51559,591
pv_1013,6.899324087233081,5.167318439378755,0.951447624490689,94.77597008042834,51554,591
pv_1015,7.3282676460510565,5.611704995422396,0.9448779102581204,94.42628619329193,51554,591
pv_1017,6.119562629545082,4.774865467302286,0.9615816947950371,95.37663249285498,51554,591
pv_1019,6.036716691756388,4.6457485719905085,0.9653578580765836,95.61231524615847,51555,591
pv_102,6.373014029744263,4.795439024251931,0.9629601378498333,95.43588596154494,51561,591
pv_1021,6.414390428510466,4.996783421741525,0.9578253005941237,95.1501221703711,51556,591
pv_1023,6.975228931278494,5.150080400203086,0.9504351866827956,94.72334801561048,51552,591
pv_1025,7.075065652469949,5.1527661869247545,0.9485631827542266,94.66674784243901,51562,591
pv_1027,6.270869945744933,4.778815554947216,0.9601371963670023,95.28351206977071,51553,591
pv_1029,6.158267532691635,4.830721859282447,0.963183009545499,95.45971276307402,51551,591
pv_1031,6.754965206313578,5.129912487968373,0.9563359013103405,94.99191307178859,51565,591
pv_1033,6.521333348731744,4.8803567236490455,0.958180838713661,95.13672417070241,51551,591
pv_1035,6.534002308906373,5.015818688940074,0.956288435100178,95.04926171368416,51555,591
pv_1037,6.874846887663034,5.081244405735972,0.9518669327056247,94.80494212990027,51552,591
pv_1039,6.495366313010628,4.952763317365533,0.957546664323351,95.11933108597248,51558,591
pv_104,6.3937374726733145,4.7854721726499845,0.9627659306618765,95.42275726062879,51561,591
pv_1041,6.126329604523319,4.760713210122033,0.9617451027649291,95.35235925364537,51568,591
pv_1043,7.5274998227051455,5.736323017690792,0.9417696496142542,94.27588206526796,51557,591
pv_1045,6.474229691212505,4.847685770064642,0.9585369342536922,95.16555936941097,51553,591
pv_1047,6.706749245955072,5.203815891161788,0.953984020226277,94.91445164923023,51554,591
pv_1049,7.257046026338793,5.519706265147769,0.9456262608510039,94.48759908683174,51551,591
pv_1051,6.064042488275229,4.683180592403573,0.9615479659075193,95.32448314226262,51556,590
pv_1053,6.772231150324731,5.112653440565829,0.9536652837380902,94.89081026450047,51550,591
pv_1055,7.00442080361498,5.139582807864432,0.9495420037694808,94.73040042922428,51567,591
pv_1057,7.44978669430135,5.773426306328396,0.9435074073209124,94.31363469889477,51556,591
pv_1059,7.9436966229514105,5.949256356754884,0.9352532794791761,93.96646750819943,51557,591
pv_106,6.456608957021101,4.876389175312571,0.9620668863191444,95.37889277412961,51561,591
pv_1061,6.270099024709871,4.726622671955723,0.9594067303233353,95.21190806871694,51566,590
pv_1063,7.257046026338793,5.519706265147769,0.9456262608510039,94.48759908683174,51551,591
pv_1065,6.618479460313288,4.926130599007388,0.9567801778540338,95.06157627100227,51553,591
pv_1067,6.56033154016912,5.0301762611329455,0.9585819533625177,95.1216336784744,51565,591
pv_1069,7.109465110368094,5.389698364141629,0.9478304249977791,94.60174649138149,51550,591
pv_1071,7.267717022587899,5.439513698773941,0.9467841847151297,94.53543261965794,51550,591
pv_1073,6.855593067568284,5.329759916954639,0.9519048345144905,94.79980218036569,51563,591
