pv_name,temperature,pressure,windspeed,dewpoint,ghi_global,hour_sin,hour_cos,doy_sin,doy_cos,ghi_neighbor_1,ghi_neighbor_2,ghi_neighbor_3
pv_10,0.012119606066863759,0.005293278351745074,0.006937604790864067,0.007591918783202835,0.21023216491768795,0.015895797948703164,0.010775672142778333,0.007489253613640965,0.011929186406913352,0.2791366856416903,0.22229332867800697,0.21030550265790324
pv_100,0.012124746919464077,0.005388042658290325,0.0069846191405145315,0.0076415443395896785,0.2033357146112706,0.016322156476467297,0.010775369773133746,0.007667771359672609,0.01170565588808421,0.28103219681312547,0.2252866506291116,0.21173553139127596
pv_1001,0.01099461460933178,0.004648557782140072,0.0066400861924813944,0.008438692925778795,0.06300161987019699,0.015197776653386848,0.010412684735741426,0.006885772029742858,0.009927562230947248,0.1315019202557166,0.1608281087723918,0.5715226039421442
pv_1003,0.00846511475714112,0.004313570918115606,0.005542573910561006,0.005829406998627125,0.12013104224967266,0.013743407268972954,0.008880733978229092,0.006256736127626935,0.01004433484954159,0.5115980374161987,0.17002430801932628,0.13517073350598688
pv_1005,0.008504548123303177,0.004020427038458172,0.005457730248960815,0.006094099261468776,0.13741128556773638,0.01355211811491245,0.008344292963638889,0.005648186561309346,0.008299045238377325,0.183384552736333,0.4790696122152247,0.14021410193027697
pv_1007,0.010930733740622277,0.0046345298628848045,0.006441567555011535,0.008112525783888205,0.20697211003359628,0.015179793934017272,0.010184125731293157,0.007019806303255286,0.00944763276799936,0.28167270077568923,0.2244060802774797,0.214998393234263
pv_1009,0.007741540306478088,0.0037693590122499817,0.005129897954873051,0.005415414746511901,0.07590129925608621,0.013513323506100164,0.00783446364918659,0.0054440828654501805,0.008077262735734341,0.0709350154238442,0.7236518441379193,0.07258649640556598
pv_1011,0.010758802372585275,0.004695165518327661,0.006433973098977569,0.008018533101244637,0.21194315641886272,0.015191598799297403,0.01012497289592973,0.007012749278600415,0.009815141128492938,0.27972970871363045,0.21900723730282837,0.21726896137122287
pv_1013,0.008208234098768575,0.004113600386424091,0.005292657081793008,0.005664427297205141,0.035250621258897746,0.013507126181527516,0.008027821124067285,0.005685497709292296,0.008148131926212486,0.03547465807721474,0.08193897194624597,0.7886882529123512
pv_1015,0.008415031190005355,0.004415744033147151,0.005717172194767952,0.005857686735738809,0.1500800824180699,0.01384264878654473,0.008933370375245215,0.006443591265163264,0.010061084308007869,0.1449166982235206,0.18125558118096116,0.4600613092888281
pv_1017,0.0071406675289313925,0.003520438558589396,0.004569417020610241,0.004694927126793395,0.06632878757436905,0.012823896237508613,0.007239221295691891,0.005034165126879033,0.007255241937660565,0.1472144631434852,0.3964995233803503,0.33767925106913094
pv_1019,0.008584750917481834,0.004305523437518571,0.005412143104507507,0.005425626944789625,0.6809418813047294,0.01422683478322849,0.008060926993429819,0.005940301225744852,0.009099216519015118,0.09972148100482327,0.08789119082064042,0.070390122944091
pv_102,0.011989487018877431,0.0053840710255283,0.007100152565259688,0.00759118375130003,0.2057030379229336,0.016236456594103783,0.01081784809174691,0.007721951218335002,0.011803942950493602,0.2774972874856923,0.22851156446395335,0.2096430169117761
pv_1021,0.008388248403300802,0.004064554830817815,0.005407868886004524,0.0057333484193102646,0.24728647229737025,0.01389034337154265,0.008523790095725743,0.005709275276480808,0.008849667817781475,0.31332818489435005,0.14545034026466644,0.23336790544264918
pv_1023,0.01159356481029476,0.005275247726988137,0.0072861408193615525,0.008712052710538864,0.20366008437596544,0.015686106546124658,0.011142669799402649,0.007369730133305931,0.012564595216927496,0.28264570252441185,0.22633827685452632,0.20772582848215246
pv_1025,0.010569693471880836,0.004841729497678905,0.007157015023748763,0.0077374287141806514,0.20562578932044168,0.01528105521872067,0.010357420292471435,0.0073808347122180235,0.010831531781591018,0.27968457669448227,0.2286913027071034,0.21184162256548222
pv_1027,0.008444596120014811,0.0038633950297562603,0.005566349472134431,0.005957918249218669,0.21416335338175527,0.013577260597957596,0.008196337174561065,0.005609390793085731,0.008381874188930747,0.17905496582701047,0.21600696423681623,0.3311775949287587
pv_1029,0.008269942499127379,0.0041959559795497255,0.005596680340254414,0.005358549401104714,0.022467267493130272,0.013928086114059185,0.008182257366120015,0.005895140899810725,0.008623351630103299,0.014780220644585354,0.8886266419550808,0.014075905677074133
pv_1031,0.011126826428708778,0.004756112311205051,0.0067977830623378015,0.007353096334224094,0.20656342623702872,0.015550626630111808,0.010464458731446106,0.007050035666298496,0.010125528971809843,0.2779207053495555,0.22793310673556935,0.21435829354170455
pv_1033,0.006797472496242162,0.003500978114098589,0.004766996983201982,0.004666517979287408,0.01680891498962188,0.01302550122058836,0.00682831282521137,0.0050067942769362475,0.0071119995716679655,0.016981255678809003,0.1766664108619371,0.737838845002398
pv_1035,0.008548912277798634,0.004208153312653906,0.0053988189225187685,0.00573456569579802,0.2281935600291862,0.013695711751889049,0.008523898961508033,0.006013638314414268,0.008566587642984512,0.28898105133167756,0.22945707706337565,0.19267802469619555
pv_1037,0.011789816705040632,0.005215875611775178,0.007184048650065713,0.008871596892726647,0.20795177612911225,0.015485043778941427,0.01113454526031698,0.007339299118271022,0.012489655566232487,0.2789812434863058,0.2201432546849764,0.21341384411623548
pv_1039,0.010971438857866764,0.0045677102962681125,0.006449372895547819,0.008207200015660065,0.2110983543491601,0.015197096605798141,0.010151166877747168,0.0070840953335469005,0.009463393464506906,0.28022822086723115,0.2252766951473482,0.2113052552893187
pv_104,0.011969596550165738,0.005391892338689564,0.007091621863628228,0.007577653998178126,0.20053345226780192,0.016233469834030234,0.010826294557240795,0.007727665726621699,0.011773465342584775,0.28370327935351153,0.22179719480917376,0.21537441335837354
pv_1041,0.011095195690743288,0.004890136750471371,0.00686218602463572,0.00765138391083875,0.20007328870321167,0.015587086030360629,0.010934310036932782,0.0072527107935759704,0.010220417058234081,0.286077760458146,0.22611344525854093,0.21324207928430888
pv_1043,0.008384728279217319,0.004349027335254949,0.00565050542036153,0.005931146117854269,0.13288088534784692,0.013856834108930967,0.00890808006615022,0.0063141167065079015,0.010049551589702286,0.19876671324139814,0.43197159872958585,0.17293681305718966
pv_1045,0.007773821223582626,0.0038323923974479227,0.004985537633759927,0.005380160978302049,0.34509833590184485,0.013514945983840758,0.007826788379078057,0.0054699393318078104,0.008013097720198318,0.3807391771480151,0.09615404633852413,0.12121175696359844
pv_1047,0.00827773384247766,0.004125336260521309,0.005361741608903634,0.0056880836875721,0.03493691756121317,0.013552994112321116,0.007980086174982963,0.005707863882755649,0.0081866608422688,0.03599715742592671,0.08173271580599253,0.7884527087950643
pv_1049,0.012192805868648172,0.005499849609011226,0.007023826358069798,0.008695879525930197,0.20572956831229267,0.015084376302522276,0.011323382800149766,0.00774853027007348,0.012298248164911353,0.27859914827649673,0.22599919096232723,0.20980519354956695
pv_1051,0.006442008621198507,0.0034107963201118214,0.004383386484271294,0.00438827430744506,0.5835295514669248,0.012430578877343832,0.006844469259906415,0.004958987972133846,0.007567086253390209,0.033844379216423096,0.034551722760258814,0.29764875846059224
pv_1053,0.011011891852551197,0.0047949010060138976,0.00663190137421555,0.008461945983987649,0.5625205148216006,0.01535161722018349,0.010354681892933077,0.006843912392856614,0.010033754061039624,0.10758346171069758,0.13957946844270777,0.11683194924121287
pv_1055,0.01058940458671342,0.004806588740691395,0.00725610956589343,0.0077226995806418675,0.20525865701389565,0.01523209059464073,0.010389121838954235,0.007381677563365233,0.010596578617037396,0.2740460094866734,0.22827746807792584,0.21844359433356747
pv_1057,0.008437505109662156,0.0043923733047656136,0.005721872169412084,0.005745072946783268,0.45952314691121304,0.013725004905705405,0.009072480774624726,0.0063645558118459325,0.010360624647661314,0.40162741613065406,0.030661669725343316,0.04436827756232917
pv_1059,0.011055067950763671,0.004923676097091331,0.00695856779047116,0.007882123595468816,0.20385512923786228,0.015558022558744526,0.010889276128259075,0.007512624001724169,0.01172302129410341,0.281592206183813,0.22447927211060495,0.21357101305109377
pv_106,0.011969635727441042,0.005411447505306309,0.007091284189372884,0.007593768408431775,0.2032513563791616,0.016220355446931962,0.010812513261535246,0.007717015924395184,0.011808360381965293,0.27613738399219934,0.22576350616087645,0.21622337262238298
pv_1061,0.008108036469113268,0.004207570674534369,0.005895060791466813,0.005548350461697052,0.407488596425132,0.013423879960116349,0.008238334829837032,0.00591476730401302,0.008286296865132764,0.0373838979930585,0.45613674098028084,0.03936846724561803
pv_1063,0.012192805868648172,0.005499849609011226,0.007023826358069798,0.008695879525930197,0.20572956831229267,0.015084376302522276,0.011323382800149766,0.00774853027007348,0.012298248164911353,0.27859914827649673,0.22599919096232723,0.20980519354956695
pv_1065,0.007701250773202975,0.0038662856609022562,0.004978056519102922,0.005366180350524896,0.3374844915732849,0.013611147932386113,0.007785317490387911,0.005496527614014289,0.008040021315301894,0.39531424967731715,0.09082541528638638,0.11953105580718827
pv_1067,0.011155333247299283,0.004747675939383489,0.006791934107513882,0.007361643685992732,0.20581447196267394,0.015588888544079152,0.010408562850248701,0.007011718868861785,0.01016898792061629,0.2817338837650537,0.22578632498427506,0.213430574124002
pv_1069,0.012172425502905574,0.005388517444475647,0.007015997767958893,0.008684844609435157,0.20997536911151543,0.014960884688493116,0.011349327323166005,0.007771137135038597,0.012335720142709089,0.27978883403879695,0.22187784872343308,0.20867909351207226
pv_1071,0.010934862697543632,0.004631628232144499,0.006620969185079605,0.008449600941207334,0.062421025555098215,0.015177745147348045,0.010427099492528982,0.006885805353790839,0.009960306892501698,0.12756149512780407,0.16590444562792836,0.5710250157470247
pv_1073,0.007300761715070594,0.0037491503560256587,0.0047934663686155345,0.004830048037294634,0.020816071097323825,0.012557097503682387,0.007623390170960548,0.005458516331377082,0.00930752377257402,0.022466155634359723,0.8756335785198932,0.02546424049282287
pv_1075,0.008847220108741963,0.004336921567092492,0.005745802971102082,0.005699140407441935,0.19100162227794776,0.013389880325174939,0.008139780986239364,0.00609606259383175,0.009790501290587166,0.28313979409754675,0.2545315547961962,0.20928171857809771
pv_1077,0.008270052781502592,0.0041747384200250095,0.005488324008544435,0.0053210974667141295,0.3888047084069596,0.013966988858373493,0.008121602439229044,0.005936665596963142,0.008633475374191806,0.027161288476576288,0.5003834872901948,0.023737570880725697
pv_1079,0.00723976661236504,0.0038109269360243566,0.00521669030965172,0.004946093179619629,0.052801483927358894,0.0129997674838519,0.007487149645684935,0.005220564167216537,0.00820189411738382,0.796005514353186,0.05896620462877923,0.03710394463887798
pv_108,0.012134723857974252,0.005377394675753742,0.007000502711051115,0.007695377768123049,0.20957543735193457,0.016208690196030523,0.010914330351643513,0.0077016994006667075,0.011782534876101139,0.2805381586385529,0.22106973605717326,0.21000141411499526
pv_1081,0.007826056941193402,0.004044199742047714,0.005472286083753141,0.005338700737914959,0.21943500507486338,0.01329778152228065,0.008127830347448736,0.005722958290723237,0.008996093348914429,0.1870663869306793,0.4796321253036463,0.055040575676534746
pv_1083,0.011277947983163464,0.00496541824543348,0.0068649486069378655,0.007599853054357692,0.20422290877523555,0.015572859590070754,0.01079668617254025,0.007232808115680747,0.010310340897730528,0.27992394890774874,0.22598964162892612,0.21524263802217491
pv_1085,0.008223249270856962,0.00412707803086719,0.005492034751500027,0.005296750917956861,0.29263005808884385,0.013779293773121712,0.008190497092168422,0.005788351464218541,0.008701920339262002,0.3533015826085847,0.04608614622804022,0.24838303743457962
pv_1087,0.011773498253071439,0.00522939506080439,0.0072759716886749036,0.0087043639646566,0.20382322917769294,0.01560621459666596,0.01121959131969381,0.007429330127035033,0.012544976013549475,0.2784076729537346,0.2224712597528628,0.21551449709155807
pv_1089,0.00845195265990963,0.004237443646248217,0.00559339236748871,0.006351308167585849,0.1905279669854796,0.013649461066065878,0.008354268303021859,0.005706713175222286,0.008130790052474657,0.4492237892056413,0.15639864343711327,0.14337427093374866
pv_1091,0.011067023705324133,0.00502878642363744,0.006995549544372512,0.007952218320441627,0.20437839758325302,0.01584408761992941,0.010989294878231215,0.007560986593669833,0.012231301383437003,0.27477756972116235,0.23152488367739488,0.21164990054914656
pv_1093,0.008476160708354004,0.003970885195975074,0.005360881693621413,0.006072467620727071,0.13094474363051142,0.013677755954075867,0.008184996001860066,0.0056060998068829734,0.008089765181920491,0.16374357789351757,0.17200898726093944,0.4738636790516147
pv_1095,0.006845369792147111,0.0035869444544621865,0.004567316451166379,0.00464358554115386,0.19699329551797404,0.012723247641740303,0.007117414947578417,0.0047765915512265125,0.007712093030946908,0.21308017097101614,0.4275883648126426,0.11036560528794556
pv_1097,0.011116612249500722,0.004978579082458981,0.006762662320491051,0.0075334025584905115,0.2058429920336011,0.015486471576354147,0.010826707519215523,0.007232224757672951,0.010188883647645782,0.28416669751726437,0.22312492404003673,0.21273984269726795
pv_1099,0.010923724664700521,0.004678929451578311,0.00644029830394736,0.008203614297049938,0.20514180420523417,0.015222750046868322,0.010262022734366008,0.006931344142989106,0.009763815098094117,0.2799165558617736,0.22717011190746478,0.21534502928593371
pv_110,0.012085090348836846,0.005378110825317343,0.006990683098205046,0.0077161545445280305,0.20449197232565747,0.01623496975399003,0.010895035543584987,0.007703606470733348,0.011828052297295907,0.28153349223626395,0.2247500868517833,0.21039274570380387
pv_1101,0.008301258822336045,0.004201368825181348,0.005566127838472097,0.0053425080493122844,0.022739019649077086,0.013988368592695222,0.008155961422242255,0.005907003024062883,0.008612734514693894,0.012349933910472639,0.8881721375501231,0.016663577801331143
pv_1103,0.011066642274585826,0.005025879021039547,0.006950886806280935,0.007985852239215498,0.20165254488624756,0.015691894815102976,0.01108474108398767,0.00751041760002826,0.012182386187598225,0.28175804161718315,0.22744613308379402,0.21164458038493633
pv_1105,0.008546495551700712,0.004322635001708865,0.005780551344972434,0.0065079191663894205,0.15315734432560155,0.013618779046062734,0.0085356517247217,0.0057334487416157405,0.008264936453946565,0.17175532836406973,0.19840646140263346,0.4153704488765771
pv_1107,0.010991055258599789,0.004649536334829949,0.006633435998476331,0.00849605483256235,0.1034009375615987,0.015296932165183361,0.010358909710990233,0.006864544882098499,0.009955591245753698,0.13568547847510573,0.5707274265498722,0.11694009698492928
pv_1109,0.012019221528417933,0.005134908204765308,0.006852264764604766,0.00754779461236007,0.2022872568431235,0.01590297035484743,0.010801340617289892,0.0074547976472769135,0.012117530077388958,0.27774232210951755,0.22617572486747328,0.21596386837293424
pv_1111,0.011157408530407127,0.0047865967516805665,0.006877491109640551,0.007719377015829383,0.2027828432100293,0.015574762691413568,0.010849289452049157,0.007247712859356193,0.010288437792510655,0.27979384437041926,0.22885673030808584,0.2140655059085783
pv_1113,0.01106955270746086,0.004888160494649943,0.006857793378881556,0.0076634301973323065,0.20563425714507158,0.01563878528688363,0.010868100545298317,0.0072468006107705195,0.01026359100532852,0.27852740403778486,0.2267834497672888,0.2145586748232492
pv_1115,0.007048937700063391,0.003635443422163836,0.004742394934431105,0.004801315869407259,0.005357548769342393,0.012797114113339728,0.007546236979390616,0.005297300432093044,0.0083652487950361,0.007763731446424899,0.4603390175291756,0.4723057100091321
pv_1117,0.008576258559165655,0.0041813544711611994,0.005534113767888164,0.005732037983388715,0.09848003832521332,0.01370616470461089,0.008593164723493077,0.005980234286614876,0.008549397323065614,0.6394103142481069,0.11078209364061141,0.09047482796668012
pv_1119,0.008531725757635856,0.004006102888534132,0.005511202701090873,0.0059981785111019766,0.15170026099543438,0.013587143819792811,0.008253553115286543,0.005668663408156197,0.008220903267929324,0.5171321010954351,0.14858319676249382,0.12280696767710912
pv_112,0.011978670223968198,0.005379656081294495,0.0070291097331529875,0.007651657581678145,0.20629953371738471,0.01617768477178924,0.01084805349936559,0.007766550923574157,0.011831734114485465,0.2758825451241396,0.22869703332268881,0.21045777090647863
