basis,seed,experiment_folder,fold,test_station,n_train_after_oversampling,n_validation,n_test,rmse_csi_raw,r2_csi_raw,rmse_csi_postprocessed,r2_csi_postprocessed,rmse_ghi,r2_ghi,epochs_run,training_minutes
wendland_K411,42,DK1A_temporal_30d_groundtruth,0,S1,102413,21538,52053,0.2158721387386322,0.2015148997306823,0.2573860863247695,-0.1353167948302642,113.53737200465206,0.7660071570358582,79,2.025399915377299
wendland_K411,42,DK1A_temporal_30d_groundtruth,1,S2,102645,21541,52142,0.1622787863016128,0.583126425743103,0.2242712216502176,0.2032334797156831,82.17067931229413,0.8878929307651603,72,1.804249942302704
wendland_K411,42,DK1A_temporal_30d_groundtruth,2,S3,103155,21540,52149,0.1596172302961349,0.565731406211853,0.217317092019586,0.1949167018544112,79.03788719071925,0.8907893932907477,114,2.909536337852478
wendland_K411,42,DK1A_temporal_30d_groundtruth,3,P2,149227,31171,4012,0.1468190550804138,-0.2491576671600341,0.2100769009782046,-1.5574608262232048,36.76480491213616,0.2788684016670147,90,3.605246313412984
eigen_TPS_K16,42,DK2_planar_eigen_TPS_K016_groundtruth,0,S1,102413,21538,52053,0.1694068610668182,0.5082598924636841,0.2234270239623171,0.1445033141656863,90.17236051437494,0.8524049555216637,50,1.639879012107849
eigen_TPS_K16,42,DK2_planar_eigen_TPS_K016_groundtruth,1,S2,102645,21541,52142,0.1669877916574478,0.5585816502571106,0.2277421307620949,0.1783804988764615,82.79404776928058,0.8861855312249145,74,2.6251145720481874
eigen_TPS_K16,42,DK2_planar_eigen_TPS_K016_groundtruth,2,S3,103155,21540,52149,0.153561845421791,0.5980560779571533,0.2133567974315516,0.2239923283910825,77.86944534993629,0.8939945149182416,89,3.079962531725565
eigen_TPS_K16,42,DK2_planar_eigen_TPS_K016_groundtruth,3,P2,149227,31171,4012,0.1612368375062942,-0.5065408945083618,0.2177320144585849,-1.7472423152974526,40.17795564005552,0.1387570813438741,90,5.143351447582245
wendland_K411,123,DK2_seedcheck_wendland_K411_seed123_groundtruth,0,S1,102413,21538,52053,0.2433862388134002,-0.0149991512298583,0.2802451988231527,-0.3459325364010053,146.61898305154546,0.6097837916325495,61,1.6233663161595662
wendland_K411,123,DK2_seedcheck_wendland_K411_seed123_groundtruth,1,S2,102645,21541,52142,0.1601190268993377,0.5941488146781921,0.2233938201146719,0.2094555591492467,81.4170656598103,0.8899398408598043,133,3.5191520929336546
wendland_K411,123,DK2_seedcheck_wendland_K411_seed123_groundtruth,2,S3,103155,21540,52149,0.1566433012485504,0.581762969493866,0.2148503202679476,0.2130900116194981,79.41984195670997,0.8897313107789222,92,2.324781930446625
wendland_K411,123,DK2_seedcheck_wendland_K411_seed123_groundtruth,3,P2,149227,31171,4012,0.1501699239015579,-0.3068277835845947,0.2117546103551643,-1.5984725606741912,37.91092726062044,0.2332058197181015,83,3.18412074247996
eigen_TPS_K16,123,DK2_seedcheck_eigen_TPS_K016_seed123_groundtruth,0,S1,102413,21538,52053,0.2261070758104324,0.1240043044090271,0.2680956715950589,-0.2317612417886914,130.69996055912716,0.6899185316697625,66,1.4310338656107584
eigen_TPS_K16,123,DK2_seedcheck_eigen_TPS_K016_seed123_groundtruth,1,S2,102645,21541,52142,0.159950315952301,0.595003604888916,0.2234283005835431,0.2092115018462269,80.37595188917513,0.8927366138082348,60,1.1947722832361858
eigen_TPS_K16,123,DK2_seedcheck_eigen_TPS_K016_seed123_groundtruth,2,S3,103155,21540,52149,0.1548403799533844,0.5913351774215698,0.212614040505657,0.2293859394474156,76.09706373090906,0.8987651662357141,46,0.9203699469566344
eigen_TPS_K16,123,DK2_seedcheck_eigen_TPS_K016_seed123_groundtruth,3,P2,149227,31171,4012,0.1325850784778595,-0.0186893939971923,0.2076915028358558,-1.499711243120415,34.9843073817245,0.3470249992430841,75,2.505252957344055
wendland_K411,2026,DK2_seedcheck_wendland_K411_seed2026_groundtruth,0,S1,102413,21538,52053,0.2271061241626739,0.1162460446357727,0.2667330186951176,-0.2192716894830046,125.4512732922139,0.7143231515691078,99,2.6719839731852213
wendland_K411,2026,DK2_seedcheck_wendland_K411_seed2026_groundtruth,1,S2,102645,21541,52142,0.1624686568975448,0.5821502804756165,0.2234550839082691,0.2090218999511531,82.69196537087835,0.8864660173629457,50,1.180667666594187
wendland_K411,2026,DK2_seedcheck_wendland_K411_seed2026_groundtruth,2,S3,103155,21540,52149,0.1675840020179748,0.5212993621826172,0.2244008871335523,0.1415753380593356,84.13486566147154,0.8762497211116167,58,1.4319286902745565
wendland_K411,2026,DK2_seedcheck_wendland_K411_seed2026_groundtruth,3,P2,149227,31171,4012,0.1347920894622802,-0.0528856515884399,0.2061076828365516,-1.461731865797855,34.37786302579011,0.3694671061497609,95,3.6866066217422486
eigen_TPS_K16,2026,DK2_seedcheck_eigen_TPS_K016_seed2026_groundtruth,0,S1,102413,21538,52053,0.2268469780683517,0.1182618141174316,0.264068477890313,-0.1950334292478761,133.7290907390079,0.6753789469057824,49,1.0111617684364318
eigen_TPS_K16,2026,DK2_seedcheck_eigen_TPS_K016_seed2026_groundtruth,1,S2,102645,21541,52142,0.1670427322387695,0.5582911968231201,0.2283416477278917,0.1740490810138659,82.72687090689911,0.8863701482923164,78,1.6076835513114929
eigen_TPS_K16,2026,DK2_seedcheck_eigen_TPS_K016_seed2026_groundtruth,2,S3,103155,21540,52149,0.1533825546503067,0.5989940166473389,0.214347167320554,0.2167713881495812,78.35562836217498,0.8926666781403126,97,2.105574675401052
eigen_TPS_K16,2026,DK2_seedcheck_eigen_TPS_K016_seed2026_groundtruth,3,P2,149227,31171,4012,0.1593189686536789,-0.4709142446517944,0.2169418194530711,-1.7273378661091927,40.069542663498815,0.1433986284770912,65,2.0426378726959227
