basis,seed,macro_rmse_all4,pooled_rmse_all4,macro_r2_all4,macro_rmse_complete3,pooled_rmse_complete3,worst_rmse_complete3,p2_rmse,p2_r2
eigen_TPS_K16,42,72.75345231841183,82.94997838475057,0.6928355207521735,83.61195121119728,83.7606273959018,90.17236051437494,40.17795564005552,0.1387570813438741
eigen_TPS_K16,123,80.53932089023395,97.77322380264431,0.7071113277391988,95.72432539307044,98.86105779466384,130.69996055912716,34.9843073817245,0.3470249992430841
eigen_TPS_K16,2026,83.72028316789519,100.33587681302085,0.6494536004538757,98.27053000269399,101.41216610974269,133.7290907390079,40.069542663498815,0.1433986284770912
wendland_K411,42,77.87768585495039,91.89857561363557,0.7058894706896953,91.58197950255514,92.88370220622643,113.53737200465206,36.76480491213616,0.2788684016670147
wendland_K411,123,86.34170448217155,105.9282658178359,0.6556651907473443,102.48529688935525,107.10675493140987,146.61898305154546,37.91092726062044,0.2332058197181015
wendland_K411,2026,81.66399183758847,98.30447954202509,0.7116264990483577,97.42603477485459,99.40537539894956,125.4512732922139,34.37786302579011,0.3694671061497609
