seed,TPS_minus_Wendland__macro_rmse_all4,TPS_minus_Wendland__pooled_rmse_all4,TPS_minus_Wendland__macro_r2_all4,TPS_minus_Wendland__macro_rmse_complete3,TPS_minus_Wendland__pooled_rmse_complete3,TPS_minus_Wendland__worst_rmse_complete3,TPS_minus_Wendland__p2_rmse,TPS_minus_Wendland__p2_r2
42,-5.124233536538554,-8.948597228885006,-0.013053949937521847,-7.970028291357863,-9.123074810324624,-23.365011490277112,3.4131507279193656,-0.1401113203231406
123,-5.802383591937598,-8.155042015191583,0.05144613699185452,-6.76097149628481,-8.245697136746031,-15.919022492418293,-2.9266198788959414,0.1138191795249826
2026,2.0562913303067205,2.031397270995754,-0.06217289859448205,0.8444952278394027,2.006790710793126,8.27781744679399,5.691679637708702,-0.22606847767266972
