method,test_station,n,rmse,mae,r2,bias,peak_rmse,ramp_rmse
station_IDW,P2,4012,21.87204224614776,13.147142001984047,0.7447717946752825,-5.906196119900298,46.272813553812846,16.82914675193772
IDW_residual_TPS,P2,4012,23.2075741919068,16.21276347282795,0.7126511326715309,2.293817807891917,42.91886785630089,16.26312590568471
nearest_station,P2,4012,25.65393908985094,14.541202709743269,0.6488779422262645,-2.8572013664930207,48.22843981356065,18.7011669790763
direct_CSI_TPS,P2,4012,40.17795561662944,28.618992919267672,0.13875708167185052,-17.321399282874623,91.84818066835159,15.760153220287057
NSRDB,P2,4012,87.2714205022746,58.38051462685942,-3.0634421804158096,47.23725690961116,105.66178695791298,45.63035223518442
