method,test_station,n,rmse,mae,r2,bias,peak_rmse,ramp_rmse
station_IDW,S1,52019,94.43839666038852,54.25035523365193,0.8380887147839454,-5.008066212666141,131.00072575068856,81.56809191996362
direct_CSI_TPS,S1,52019,90.20178593355541,59.393539562209305,0.8522899032881197,-9.306505272054308,123.06674086768908,63.383660453293906
nearest_station,S1,52019,93.82303508191038,50.860181793997775,0.8401918715404298,-2.278973660591899,137.37391023532828,89.4433389586119
NSRDB,S1,52019,143.26372273883237,113.12450414574673,0.6273918291843132,105.69451034597988,170.0611065114584,64.7882290254045
IDW_residual_TPS,S1,52019,94.6818173609784,56.9445165655968,0.8372529667406217,0.30367020255874744,126.82314120145712,80.33607963659065
station_IDW,S2,52142,76.87761283628207,39.87568664915465,0.9018706272581593,4.468813838278135,103.77773286887086,77.1746005130873
direct_CSI_TPS,S2,52142,82.7940478450386,51.694133197308176,0.8861855311376913,17.214064812582166,84.36301589698962,66.833069583982
nearest_station,S2,52142,76.90683592709017,39.89533041648556,0.9017960102533891,4.4497024127216065,103.82211626733266,77.23035010074811
NSRDB,S2,52142,156.36866505209943,123.63247447856367,0.5940255509792141,114.39408562071942,157.4746132007366,70.18458227266886
IDW_residual_TPS,S2,52142,77.66762550642282,47.63778789402371,0.8998434630521914,15.546896725912713,82.15104685550811,65.61145445439934
station_IDW,S3,52146,76.85091398883308,39.85815266797624,0.8967488619196504,-4.441943667732244,98.80134954052505,77.1978914739899
direct_CSI_TPS,S3,52146,77.87167843521426,47.221670425195974,0.8939878006627432,2.1771370719134073,69.47752859910133,66.88788011366827
nearest_station,S3,52146,76.94426526910675,39.912289558532194,0.8964978699801098,-4.456971181131439,98.89166063076144,77.25954904890729
NSRDB,S3,52146,146.81984366708983,118.44526316681909,0.6231519363616534,109.68207965030186,162.7339325660136,73.02402024624318
IDW_residual_TPS,S3,52146,82.42167034995792,48.82758379361939,0.8812374273493467,-2.985677628199827,72.01758900074317,69.57651862283352
station_IDW,P2,4012,21.87204224614776,13.147142001984047,0.7447717946752825,-5.906196119900298,46.272813553812846,16.82914675193772
direct_CSI_TPS,P2,4012,40.17795561662944,28.618992919267672,0.13875708167185052,-17.321399282874623,91.84818066835159,15.760153220287057
nearest_station,P2,4012,25.65393908985094,14.541202709743269,0.6488779422262645,-2.8572013664930207,48.22843981356065,18.7011669790763
NSRDB,P2,4012,87.2714205022746,58.38051462685942,-3.0634421804158096,47.23725690961116,105.66178695791298,45.63035223518442
IDW_residual_TPS,P2,4012,23.2075741919068,16.21276347282795,0.7126511326715309,2.293817807891917,42.91886785630089,16.26312590568471
