station,rmse,mae,r2,n_daytime
S1,91.91817141952193,53.14328895302756,0.8448878729348822,49875
S2,74.25007367568412,40.143234965936465,0.9081892995956301,49788
S3,74.33874337209724,38.93844248012123,0.9026361014752329,49809
P2,42.150389771168236,27.552518160695172,0.965123480592127,49546
Mean,70.66434455961787,39.944371139945105,0.9052091886494681,199018
