datetime,datetime_naive,GHI_clear,solar_elev,GHI_measured,CSI_measured,NSRDB_CSI,S2_CSI,S2_mask,S3_CSI,S3_mask,CSI_IDW_fallback,CSI_zeroshot,CSI_final,GHI_final,source
2024-01-01 03:10:00+00:00,2024-01-01 03:10:00,0.0,-28.33819741400918,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 03:15:00+00:00,2024-01-01 03:15:00,0.0,-29.191718392385237,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 03:20:00+00:00,2024-01-01 03:20:00,0.0,-30.04603416684216,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 03:25:00+00:00,2024-01-01 03:25:00,0.0,-30.90094562987309,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 03:30:00+00:00,2024-01-01 03:30:00,0.0,-31.75624957851485,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 03:35:00+00:00,2024-01-01 03:35:00,0.0,-32.61173726339105,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 03:40:00+00:00,2024-01-01 03:40:00,0.0,-33.46719473853191,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 03:45:00+00:00,2024-01-01 03:45:00,0.0,-34.32240133236559,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 03:50:00+00:00,2024-01-01 03:50:00,0.0,-35.17712979727248,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 03:55:00+00:00,2024-01-01 03:55:00,0.0,-36.031145263316716,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 04:00:00+00:00,2024-01-01 04:00:00,0.0,-36.884204141224444,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 04:05:00+00:00,2024-01-01 04:05:00,0.0,-37.736054113465904,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 04:10:00+00:00,2024-01-01 04:10:00,0.0,-38.58643234746445,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 04:15:00+00:00,2024-01-01 04:15:00,0.0,-39.4350654711104,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 04:20:00+00:00,2024-01-01 04:20:00,0.0,-40.2816676501088,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 04:25:00+00:00,2024-01-01 04:25:00,0.0,-41.1259404098634,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
